seed_param,seed_sim,r,n,events,median,lwr,upr
7,2,0,100,100,70,65,70
7,2,0.25,100,100,70,65,70
7,2,0.5,100,100,70,65,70
7,2,0.75,100,100,70,65,70
7,2,1,100,100,70,65,70
7,3,-1,100,100,67.5,65,70
7,3,-0.75,100,100,65,65,70
7,3,-0.5,100,100,65,65,70
7,3,-0.25,100,100,70,65,70
7,3,0,100,100,70,65,75
7,3,0.25,100,100,70,65,70
7,3,0.5,100,100,70,65,70
7,3,0.75,100,100,65,65,70
7,3,1,100,100,70,65,70
7,4,-1,100,100,67.5,65,70
7,4,-0.75,100,100,65,65,70
7,4,-0.5,100,100,65,65,70
7,4,-0.25,100,100,70,65,70
7,4,0,100,100,70,65,70
7,4,0.25,100,100,65,65,70
7,4,0.5,100,100,65,65,70
7,4,0.75,100,100,70,65,70
7,4,1,100,100,70,65,70
7,5,-1,100,100,65,65,70
7,5,-0.75,100,100,65,65,70
7,5,-0.5,100,100,70,65,70
7,5,-0.25,100,100,70,65,70
7,5,0,100,100,70,65,70
7,5,0.25,100,100,65,65,70
7,5,0.5,100,100,65,65,70
7,5,0.75,100,100,67.5,65,70
7,5,1,100,100,70,70,70
7,6,-1,100,100,70,65,70
7,6,-0.75,100,100,70,65,70
7,6,-0.5,100,100,70,65,70
7,6,-0.25,100,100,70,65,70
7,6,0,100,100,67.5,65,70
7,6,0.25,100,100,70,65,70
7,6,0.5,100,100,70,65,70
7,6,0.75,100,100,67.5,65,70
7,6,1,100,100,70,65,70
7,7,-1,100,100,70,65,70
7,7,-0.75,100,100,70,65,75
7,7,-0.5,100,100,65,65,70
7,7,-0.25,100,100,65,65,70
7,7,0,100,100,65,65,70
7,7,0.25,100,100,70,65,70
7,7,0.5,100,100,70,65,70
7,7,0.75,100,100,70,70,75
7,7,1,100,100,70,70,70
7,8,-1,100,100,70,65,70
7,8,-0.75,100,100,65,65,70
7,8,-0.5,100,100,70,65,70
7,8,-0.25,100,100,65,65,70
7,8,0,100,100,65,65,70
7,8,0.25,100,100,70,65,70
7,8,0.5,100,100,70,65,70
7,8,0.75,100,100,70,70,70
7,8,1,100,100,65,65,70
7,9,-1,100,100,65,65,70
7,9,-0.75,100,100,65,65,70
7,9,-0.5,100,100,70,65,70
7,9,-0.25,100,100,70,65,70
7,9,0,100,100,67.5,65,70
7,9,0.25,100,100,65,65,70
7,9,0.5,100,100,70,65,75
7,9,0.75,100,100,70,65,70
7,9,1,100,100,70,70,70
7,10,-1,100,100,65,65,70
7,10,-0.75,100,100,65,65,70
7,10,-0.5,100,100,65,65,70
7,10,-0.25,100,100,70,65,70
7,10,0,100,100,70,65,70
7,10,0.25,100,100,70,65,70
7,10,0.5,100,100,65,65,70
7,10,0.75,100,100,70,65,70
7,10,1,100,100,70,70,70
8,1,-1,100,100,70,65,75
8,1,-0.75,100,100,65,65,70
8,1,-0.5,100,100,70,65,75
8,1,-0.25,100,100,70,65,75
8,1,0,100,100,65,65,70
8,1,0.25,100,100,70,65,70
8,1,0.5,100,100,70,65,70
8,1,0.75,100,100,70,70,75
8,1,1,100,100,70,65,70
8,2,-1,100,100,70,65,75
8,2,-0.75,100,100,70,65,70
8,2,-0.5,100,100,70,65,75
8,2,-0.25,100,100,70,65,70
8,2,0,100,100,70,65,70
8,2,0.25,100,100,70,65,70
8,2,0.5,100,100,70,70,70
8,2,0.75,100,100,70,65,70
8,2,1,100,100,70,70,70
8,3,-1,100,100,65,65,70
8,3,-0.75,100,100,65,65,70
