seed_param,seed_sim,r,mean,SD,median,Q1,Q3,IQR
4,10,0.5,67.2,9.409859432821223,65,60,70,10
4,10,0.75,69.1,8.743828992755144,70,65,75,10
4,10,1,68.7,7.674567733689624,70,65,75,10
5,1,-1,67.45,15.91478253166857,65,55,75,20
5,1,-0.75,68.85,16.265707249401494,65,58.75,80,21.25
5,1,-0.5,69.75,14.536179176472237,70,60,75,15
5,1,-0.25,69.3,14.355163080602988,70,60,80,20
5,1,0,69.1,13.092136586670657,70,60,75,15
5,1,0.25,69.35,12.178284200190356,70,65,75,10
5,1,0.5,68.1,11.476370101520372,65,60,75,15
5,1,0.75,68.8,8.707363654871767,70,65,75,10
5,1,1,68.9,7.336776051392248,70,65,75,10
5,2,-1,69,18.174240845301636,70,55,76.25,21.25
5,2,-0.75,69.45,15.306547750567534,70,60,80,20
5,2,-0.5,69,14.97472618255253,67.5,60,76.25,16.25
5,2,-0.25,69.6,15.401692154179722,70,60,80,20
5,2,0,68.65,12.72980674629351,65,60,75,15
5,2,0.25,69.4,12.758043610510068,70,63.75,75,11.25
5,2,0.5,68.65,10.392669327827946,70,60,75,15
5,2,0.75,68.25,9.570973584413204,70,63.75,75,11.25
5,2,1,68.3,7.220201737577222,70,65,75,10
5,3,-1,68.95,16.225914551429852,65,60,76.25,16.25
5,3,-0.75,69.1,16.19608382644185,67.5,60,75,15
5,3,-0.5,69.6,15.645698411636305,70,60,76.25,16.25
5,3,-0.25,68.4,15.51929395457425,70,58.75,75,16.25
5,3,0,68.2,13.475004919322203,65,60,75,15
5,3,0.25,69,10.588730430094635,70,65,75,10
5,3,0.5,68.1,10.439338962779107,65,60,75,15
5,3,0.75,68.95,10.305803993847155,70,65,75,10
5,3,1,67.85,7.529571332051011,65,65,70,5
5,4,-1,68.5,16.899883449481557,65,55,75,20
5,4,-0.75,68.5,16.414763002993507,65,55,75,20
5,4,-0.5,68.9,16.61476767970305,65,60,75,15
5,4,-0.25,68.25,15.897001178355824,65,60,75,15
5,4,0,69.5,14.72817680227909,70,60,75,15
5,4,0.25,68.45,12.566891726945357,65,60,75,15
5,4,0.5,68.55,10.15772085308968,70,60,75,15
5,4,0.75,68.8,9.695359714832659,65,65,75,10
5,4,1,68.75,7.155382236435377,70,65,75,10
5,5,-1,68.9,16.91601357151014,65,58.75,80,21.25
5,5,-0.75,68.45,15.41832505412788,65,60,75,15
5,5,-0.5,68.7,15.186051547922574,65,60,75,15
5,5,-0.25,69.45,14.579891368704786,67.5,60,80,20
5,5,0,69.1,13.034143197344768,70,60,75,15
5,5,0.25,68.85,11.210902882209954,70,60,75,15
5,5,0.5,68.7,10.908712114635714,70,60,75,15
5,5,0.75,68.45,9.175477858912522,70,65,75,10
5,5,1,68.5,7.088901554720961,70,65,75,10
5,6,-1,68.55,17.266406339443883,70,60,76.25,16.25
5,6,-0.75,68.45,15.020104372258382,65,60,75,15
5,6,-0.5,67.85,13.967042737397305,65,60,75,15
5,6,-0.25,69.25,13.676917810971915,70,60,76.25,16.25
5,6,0,68.75,12.779699021131409,70,60,75,15
5,6,0.25,67.8,11.039872638703214,70,60,75,15
5,6,0.5,69.6,10.88693035365123,70,63.75,75,11.25
5,6,0.75,68,9.428090415820634,67.5,60,75,15
5,6,1,69.05,7.131343534430283,70,65,75,10
5,7,-1,68.2,17.64578525806481,65,55,75,20
5,7,-0.75,69.35,16.23151629429984,70,60,80,20
5,7,-0.5,68.95,16.03807023833282,65,60,80,20
5,7,-0.25,68.65,14.387406811078733,70,60,75,15
5,7,0,68.55,13.262977254619932,70,60,75,15
5,7,0.25,68.2,11.645435226566743,65,60,75,15
5,7,0.5,69.55,11.011816426462122,70,65,75,10
5,7,0.75,68.95,9.025636886786506,70,65,75,10
5,7,1,68.9,6.874781906549928,70,65,75,10
5,8,-1,68.45,16.075814697296625,65,60,75,15
5,8,-0.75,69.55,16.77382219743345,65,60,80,20
5,8,-0.5,67.4,16.213225677473527,65,60,75,15
